Date,Open,High,Low,Close,name
12/1/2013,16087,16588,15704,16577,DJIA
1/1/2014,16572,16573,15618,15699,DJIA
2/1/2014,15698,16399,15341,16322,DJIA
3/1/2014,16322,16506,16047,16458,DJIA
4/1/2014,16458,16632,16015,16581,DJIA
5/1/2014,16580,16736,16341,16717,DJIA
6/1/2014,16717,16978,16674,16827,DJIA
7/1/2014,16829,17152,16563,16563,DJIA
8/1/2014,16562,17154,16334,17098,DJIA
9/1/2014,17097,17351,16934,17043,DJIA
10/1/2014,17040,17396,15855,17391,DJIA
11/1/2014,17391,17895,17278,17828,DJIA
12/1/2014,17827,18103,17068,17823,DJIA
1/1/2015,17823,17952,17136,17165,DJIA
2/1/2015,17170,18244,17038,18133,DJIA
3/1/2015,18134,18289,17579,17776,DJIA
4/1/2015,17779,18176,17585,17841,DJIA
5/1/2015,17859,18351,17733,18011,DJIA
6/1/2015,18018,18189,17577,17620,DJIA
7/1/2015,17638,18137,17399,17690,DJIA
8/1/2015,17697,17705,15370,16528,DJIA
9/1/2015,16528,16933,15942,16285,DJIA
10/1/2015,16279,17800,16014,17664,DJIA
11/1/2015,17673,17978,17210,17720,DJIA
12/1/2015,17720,17902,17117,17425,DJIA
1/1/2016,17405,17405,15451,16466,DJIA
2/1/2016,16454,16796,15503,16517,DJIA
3/1/2016,16546,17790,16546,17685,DJIA
4/1/2016,17662,18168,17484,17774,DJIA
5/1/2016,17784,17935,17331,17787,DJIA
6/1/2016,17755,18016,17063,17930,DJIA
7/1/2016,17924,18622,17713,18432,DJIA
8/1/2016,18435,18723,18248,18401,DJIA
9/1/2016,18397,18552,17992,18308,DJIA
10/1/2016,18280,18400,17960,18142,DJIA
11/1/2016,18158,19225,17884,19124,DJIA
12/1/2016,19149,19988,19139,19763,DJIA
1/1/2017,19873,20126,19678,19864,DJIA
2/1/2017,19924,20851,19831,20812,DJIA
3/1/2017,20957,21169,20413,20663,DJIA
4/1/2017,20665,21071,20380,20941,DJIA
5/1/2017,20963,21112,20553,21009,DJIA
6/1/2017,21031,21535,20994,21350,DJIA
7/1/2017,21392,21930,21279,21891,DJIA
8/1/2017,21961,22179,21600,21948,DJIA
9/1/2017,21982,22420,21710,22405,DJIA
10/1/2017,22423,23485,22416,23377,DJIA
11/1/2017,23443,24328,23243,24272,DJIA
12/1/2017,24305,24876,23922,24719,DJIA
1/1/2018,24809,26617,24742,26149,DJIA
2/1/2018,26083,26307,23360,25029,DJIA
3/1/2018,25024,25449,23509,24103,DJIA
4/1/2018,24077,24859,23345,24163,DJIA
5/1/2018,24117,25086,23531,24416,DJIA
6/1/2018,24542,25403,23997,24271,DJIA
7/1/2018,24162,25587,24078,25415,DJIA
8/1/2018,25462,26168,24966,25965,DJIA
9/1/2018,25916,26769,25754,26458,DJIA
10/1/2018,26598,26952,24122,25116,DJIA
11/1/2018,25142,26278,24269,25538,DJIA
12/1/2018,25780,25980,21713,23327,DJIA
1/1/2019,23059,24015,22638,23996,DJIA
1/11/2019,23940,23996,23798,23996,DJIA
